run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,0,0
1,2,400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,3.5,0
1,3,600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,4.666666666666667,0
1,4,800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,5.25,0
1,5,1000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,5.6,0
1,6,1200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,5.833333333333333,0
1,7,1400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.0,0
1,8,1600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.125,0
1,9,1800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.222222222222222,0
1,10,2000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.3,0
1,11,2200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.363636363636363,0
1,12,2400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.416666666666667,0
1,13,2600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.461538461538462,0
1,14,2800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.5,0
1,15,3000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.533333333333333,0
1,16,3200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.5625,0
1,17,3400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.588235294117647,0
1,18,3600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.611111111111111,0
1,19,3800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.631578947368421,0
1,20,4000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.65,0
1,21,4200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.666666666666667,0
1,22,4400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.681818181818182,0
1,23,4600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.695652173913044,0
1,24,4800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.708333333333333,0
1,25,5000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.72,0
1,26,5200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.730769230769231,0
1,27,5400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.7407407407407405,0
1,28,5600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.75,0
1,29,5800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.758620689655173,0
1,30,6000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.766666666666667,0
1,31,6200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.774193548387097,0
1,32,6400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.78125,0
1,33,6600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.787878787878788,0
1,34,6800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.794117647058823,0
1,35,7000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.8,0
1,36,7200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.805555555555555,0
1,37,7400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.8108108108108105,0
1,38,7600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.815789473684211,0
1,39,7800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.82051282051282,0
1,40,8000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.825,0
1,41,8200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.829268292682927,0
1,42,8400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.833333333333333,0
1,43,8600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.837209302325581,0
1,44,8800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.840909090909091,0
1,45,9000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.844444444444444,0
1,46,9200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.8478260869565215,0
1,47,9400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.851063829787234,0
1,48,9600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.854166666666667,0
1,49,9800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.857142857142857,0
1,50,10000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.86,0
1,51,10200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.862745098039215,0
1,52,10400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.865384615384615,0
1,53,10600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.867924528301887,0
1,54,10800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.87037037037037,0
1,55,11000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.872727272727273,0
1,56,11200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.875,0
1,57,11400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.87719298245614,0
1,58,11600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.879310344827586,0
1,59,11800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.88135593220339,0
1,60,12000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.883333333333334,0
1,61,12200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.885245901639344,0
1,62,12400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.887096774193548,0
1,63,12600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.888888888888889,0
1,64,12800,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.890625,0
1,65,13000,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.892307692307693,0
1,66,13200,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.893939393939394,0
1,67,13400,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.895522388059701,0
1,68,13600,141,"[0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0]",7.0,6.897058823529412,0
